Year,Series,Region,Media Outlets,Unit of measurement,Value
2016,proportion,torba,tv,percentage,0.16
2016,proportion,sanma,tv,percentage,1.8
2016,proportion,penama,tv,percentage,0.14
2016,proportion,malampa,tv,percentage,0.27
2016,proportion,shefa,tv,percentage,4.75
2016,proportion,tafea,tv,percentage,0.13
2016,proportion,vanuatu,radio,percentage,18.4
2016,proportion,urban,radio,percentage,22.8
2016,proportion,rural,radio,percentage,16.1
2016,proportion,torba,radio,percentage,14.5
2016,proportion,sanma,radio,percentage,18.8
2016,proportion,penama,radio,percentage,14.3
2016,proportion,malampa,radio,percentage,14.6
2016,proportion,shefa,radio,percentage,22.2
2016,proportion,tafea,radio,percentage,12.1
2016,proportion,vanuatu,newspaper,percentage,1.99
2016,proportion,urban,newspaper,percentage,4.3
2016,proportion,rural,newspaper,percentage,0.82
2016,proportion,torba,newspaper,percentage,0.09
2016,proportion,sanma,newspaper,percentage,2.3
2016,proportion,penama,newspaper,percentage,0.51
2016,proportion,malampa,newspaper,percentage,0.19
2016,proportion,shefa,newspaper,percentage,3.3
2016,proportion,tafea,newspaper,percentage,0.27
